Judul Buku,Penjelasan Singkat
The Great Gatsby,Novel klasik tentang cinta, kekayaan, dan impian Amerika di era Jazz.
To Kill a Mockingbird,Kisah mengharukan tentang keadilan, rasisme, dan masa kecil di Selatan Amerika.
1984,Novel distopia yang mengeksplorasi tema pengawasan, totaliterisme, dan kontrol sosial.
Pride and Prejudice,Romantis klasik yang mengisahkan cinta dan pernikahan di masyarakat Inggris.
The Lord of the Rings,Epik fantasi yang mengikuti perjalanan Frodo Baggins untuk menghancurkan cincin Satu.
Harry Potter and the Sorcerer's Stone,Petualangan fantasi pertama dalam seri Harry Potter yang populer.
The Hobbit,Petualangan Bilbo Baggins dan para kurcaci untuk merebut kembali Erebor.
To the Lighthouse,Novel aliran kesadaran yang mengeksplorasi tema keluarga, waktu, dan kematian.
One Hundred Years of Solitude,Kisah multigenerasi keluarga Buendía di Macondo, Kolombia.
Brave New World,Novel distopia yang menggambarkan masyarakat futuristik yang dikendalikan melalui teknologi dan rekayasa genetika.
The Catcher in the Rye,Novel coming-of-age yang mengeksplorasi alienasi dan pencarian identitas.
The Little Prince,Dongeng yang menyentuh tentang persahabatan, cinta, dan makna hidup.
And Then There Were None,Misteri pembunuhan yang menegangkan dengan plot twist yang mengejutkan.
The Alchemist,Kisah seorang gembala yang mengikuti mimpinya untuk menemukan harta karun.
The Time Traveler's Wife,Kisah cinta yang unik tentang pasangan dengan kemampuan perjalanan waktu.
